"unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_ERCC_percent","non_mt_percent","non_ribo_percent","batch","outliers","cell_number","cell_line_demuxlet","demuxlet_cls"
"p1_A1",25705,9714,99299,23769,2805,565,9780,7720,35485,0.993659292378848,0.905424827136699,0.981174867923103,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_A10",28235,13468,122392,25506,3459,459,43754,7474,35416,0.994268127119305,0.894398011945336,0.983877065767713,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_A12",14051,8292,47137,13271,1504,506,7371,5142,17754,0.987495775043654,0.901205361664298,0.97487835142596,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_A13",20199,12830,77978,21384,2761,488,6100,7153,28434,0.993177181897314,0.900436097312923,0.979847724608664,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_A14",15477,11937,54880,18222,1664,510,14275,5353,18811,0.98862367710987,0.887831587428722,0.979639051810615,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_A15",30987,13746,86934,24542,2835,413,12056,7085,30465,0.99409158017591,0.89913014905658,0.978893491254393,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_A16",15573,5983,63332,11155,1547,217,25711,5711,21779,0.994444188900113,0.883924881360979,0.984066768875169,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_A18",25999,23067,81868,35693,2971,342,10122,6966,29012,0.995071004758351,0.897663035675699,0.977319392899699,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_A19",12945,5464,42591,11501,1135,475,8088,5061,15335,0.986566676891707,0.897228561527728,0.984088044285592,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_A2",18361,11922,62400,17895,1857,471,6942,6222,23313,0.991506884145538,0.896667095227269,0.982498613435159,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_A20",19495,21925,52408,33181,1544,556,5160,5890,19891,0.98964355689023,0.897642149264671,0.981750046880475,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_A23",18591,12985,67278,20653,2154,386,10932,6270,24430,0.993246008598753,0.902537862913411,0.981129356885241,"sc_Celseq2_5cl_p2","FALSE",2,"H838","DBL"
